yyyymmdd,CS,FT,NE,SNE,SWF,SSWF,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY
20000910,0,0,0,0,0,0,1,0,1,1,1,1,1
20000911,0,0,0,0,0,0,0,0,0,0,1,1,1
20000912,0,0,0,0,0,0,0,0,0,0,0,1,1
20000913,0,0,0,0,0,0,0,0,0,0,1,1,1
20000914,0,0,0,0,0,0,0,0,0,0,1,1,1
20000915,0,0,0,0,1,0,0,0,0,0,0,1,1
20000916,0,0,0,0,1,0,0,0,0,0,0,0,1
20000917,0,0,0,0,0,0,0,0,0,0,0,0,1
20000918,0,0,0,0,0,0,0,0,0,0,0,0,1
20000919,0,0,0,0,0,0,0,0,0,0,0,0,1
20000920,0,0,0,0,0,0,0,0,0,0,0,0,1
20000921,0,0,0,0,0,0,0,0,0,0,0,0,1
20000922,0,1,1,0,0,0,0,0,0,0,0,0,1
20000923,0,0,0,0,0,0,0,0,0,0,0,0,1
20000924,0,0,0,0,0,0,0,0,0,0,0,0,1
20000925,0,0,0,0,0,0,0,0,0,0,0,0,1
20000926,0,0,0,0,0,0,0,0,0,0,0,0,0
20000927,0,0,0,0,0,0,0,0,0,0,0,0,1
20000928,0,0,0,0,0,0,0,0,0,0,0,0,1
20000929,0,0,0,0,0,0,0,0,0,0,0,0,1
20000930,0,1,0,0,0,0,0,0,0,0,0,0,1
20001001,0,0,0,0,0,0,0,0,0,0,0,0,0
20001002,0,0,0,0,0,0,0,0,0,0,0,0,0
20001003,0,0,0,0,0,0,0,0,0,0,0,0,0
20001004,0,0,1,0,0,0,0,0,0,0,0,0,0
20001005,0,1,0,0,0,0,0,0,0,0,0,0,0
20001006,0,1,0,0,0,0,0,0,0,0,0,0,1
20001007,0,1,0,0,0,0,0,0,0,0,0,0,1
20001008,0,1,1,0,0,0,0,0,0,0,0,0,1
20001009,0,0,1,1,0,0,0,0,0,0,0,0,1
20001010,0,0,0,0,0,0,0,0,0,0,0,0,1
20001011,0,0,0,0,0,0,0,0,0,0,0,0,1
20001012,0,0,1,1,0,0,0,0,0,0,0,0,1
20001013,0,0,1,1,0,0,0,0,0,0,0,0,1
20001014,0,0,1,1,0,0,0,0,0,0,0,0,1
20001015,0,0,1,1,0,0,0,0,0,0,0,0,0
20001016,0,0,1,1,0,0,0,0,0,0,0,0,0
20001017,0,0,1,1,0,0,0,0,0,0,0,0,0
20001018,0,0,1,1,0,0,0,0,0,0,0,0,0
20001019,0,1,1,1,0,0,0,0,0,0,0,0,0
20001020,0,0,1,1,0,0,0,0,0,0,0,0,0
20001021,0,0,0,0,0,0,0,0,0,0,0,0,1
20001022,0,0,0,0,0,0,0,0,0,0,0,0,1
20001023,0,0,0,0,0,0,1,0,0,0,0,1,1
20001024,0,1,1,0,0,0,1,0,0,0,1,1,1
20001025,0,0,0,0,0,0,1,0,0,1,1,1,1
20001026,0,0,0,0,0,0,1,0,0,0,1,1,1
20001027,0,0,0,0,0,0,0,0,0,1,1,1,1
20001028,0,0,0,0,0,0,0,0,1,1,1,1,1
20001029,0,0,1,1,0,0,0,0,0,0,0,1,1
20001030,0,1,1,1,0,0,1,0,0,0,1,1,1
20001031,0,0,1,1,0,0,1,1,1,1,1,1,1
20001101,0,0,0,0,0,0,1,1,1,1,1,1,1
20001102,0,0,1,1,0,0,0,0,0,0,0,1,1
20001103,0,0,1,1,0,0,0,0,0,0,0,1,1
20001104,0,0,1,1,0,0,0,0,0,0,0,1,1
20001105,0,1,1,1,0,0,0,0,0,0,0,1,1
20001106,0,1,0,0,0,0,1,0,0,0,1,1,1
20001107,0,0,0,0,0,0,1,0,0,0,0,1,1
20001108,0,0,1,1,0,0,0,0,0,0,1,1,1
20001109,0,0,1,1,0,0,0,0,0,0,1,1,1
20001110,0,0,1,1,0,0,0,0,0,0,0,1,1
20001111,0,0,1,1,0,0,0,0,0,0,0,0,0
20001112,0,0,1,1,0,0,0,0,0,0,0,0,0
20001113,0,0,1,1,0,0,0,0,0,0,0,0,0
20001114,0,0,1,0,0,0,0,0,0,0,0,0,0
20001115,0,0,1,1,0,0,0,0,0,0,0,0,0
20001116,0,0,1,1,0,0,0,0,0,0,0,0,0
20001117,0,1,1,1,0,0,0,0,0,0,0,0,0
20001118,0,0,1,1,0,0,0,0,0,0,0,0,0
20001119,0,0,0,0,0,0,0,0,0,0,0,0,0
20001120,0,1,1,1,0,0,0,0,0,0,0,0,0
20001121,0,0,1,1,0,0,0,0,0,0,0,0,0
20001122,0,0,1,1,0,0,0,0,0,0,0,0,0
20001123,0,0,1,1,0,0,0,0,0,0,0,0,0
20001124,0,0,0,0,0,0,0,0,0,0,0,0,0
20001125,0,0,0,0,0,0,0,0,0,0,0,0,0
20001126,0,0,1,0,0,0,0,0,0,0,0,0,0
20001127,0,0,1,1,0,0,0,0,0,0,0,0,1
