yyyymmdd,CS,FT,NE,SNE,SWF,SSWF,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY
20151116,0,0,0,0,0,0,0,0,0,0,0,0,1
20151117,0,0,0,0,0,0,0,0,0,0,0,0,1
20151118,0,0,0,0,0,0,0,0,0,0,0,0,1
20151119,0,0,1,0,0,0,0,0,0,0,0,0,1
20151120,0,0,1,1,0,0,0,0,0,0,0,0,1
20151121,0,0,0,0,0,0,0,0,0,0,0,0,1
20151122,0,0,1,0,0,0,0,0,0,0,0,0,1
20151123,0,0,1,1,0,0,0,0,0,0,0,0,1
20151124,0,0,1,1,0,0,0,0,0,0,0,0,1
20151125,0,0,0,0,0,0,0,0,0,0,0,0,1
20151126,0,0,0,0,0,0,0,0,0,0,0,0,1
20151127,0,0,1,0,0,0,0,0,0,0,0,0,1
20151128,0,0,0,0,0,0,0,0,0,0,0,0,0
20151129,0,0,0,0,0,0,0,0,0,0,0,0,0
20151130,0,0,1,1,0,0,0,0,0,0,0,0,0
20151201,0,0,0,0,0,0,0,0,0,0,0,0,0
20151202,0,0,0,0,0,0,0,0,0,0,0,0,0
20151203,0,0,1,1,0,0,0,0,0,0,0,0,0
20151204,0,0,1,1,0,0,0,0,0,0,0,0,0
20151205,0,0,1,0,0,0,0,0,0,0,0,0,0
20151206,0,1,0,0,0,0,0,0,0,0,0,0,0
20151207,0,0,1,1,0,0,0,0,0,0,0,0,0
20151208,0,0,1,1,0,0,0,0,0,0,0,0,0
20151209,0,1,1,0,0,0,0,0,0,0,0,0,0
20151210,0,1,0,0,0,0,0,0,0,0,0,0,1
20151211,0,0,1,1,0,0,0,0,0,0,0,0,1
20151212,0,0,1,1,0,0,0,0,0,0,0,0,1
20151213,0,0,1,0,0,0,0,0,0,0,0,0,1
20151214,0,0,1,1,0,0,0,0,0,0,0,0,1
20151215,0,0,0,0,0,0,0,0,0,0,0,1,1
20151216,0,0,0,0,0,0,0,0,0,0,0,1,1
20151217,0,0,1,1,0,0,0,0,0,0,0,1,1
20151218,0,0,1,1,0,0,0,0,0,0,0,0,1
20151219,0,0,0,0,0,0,0,0,0,0,0,0,1
20151220,0,0,0,0,0,0,0,0,0,0,0,0,0
20151221,0,0,1,0,0,0,0,0,0,0,0,0,0
20151222,0,0,0,0,0,0,0,0,0,0,0,0,0
20151223,0,1,0,0,0,0,0,0,0,0,0,0,0
20151224,0,1,0,0,0,0,0,0,0,0,0,0,0
20151225,0,0,0,0,0,0,0,0,0,0,0,0,0
20151226,0,0,1,0,0,0,0,0,0,0,0,0,0
20151227,0,0,1,1,0,0,0,0,0,0,0,0,0
20151228,0,0,1,1,0,0,0,0,0,0,0,0,0
20151229,0,0,1,1,0,0,0,0,0,0,0,0,0
20151230,0,0,1,1,0,0,0,0,0,0,0,0,0
20151231,0,0,1,1,0,0,0,0,0,0,0,0,0
